hyperedge_id,resource_id,resource_title,resource_type,domain,topic,level,goal,skill,prerequisite,rating,evidence_id,evidence_type,evidence_text
H0011,Resource004,SQL Practice Workbook,Book,Công nghệ thông tin,MachineLearning,Beginner,ApplyIndustry,APIDesign,None,3.7,E0011,LevelGoalEvidence,"'SQL Practice Workbook' phù hợp mức Beginner, hướng đến mục tiêu ApplyIndustry, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0012,Resource004,SQL Practice Workbook,Book,Công nghệ thông tin,MachineLearning,Beginner,ApplyIndustry,APIDesign,None,3.7,E0012,SkillEvidence,"Nội dung 'SQL Practice Workbook' rèn kỹ năng APIDesign, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0013,Resource005,Slide Nhập môn Trí tuệ nhân tạo,Video,Công nghệ thông tin,WebDevelopment,Advanced,ResearchTopic,DataAnalysis,BasicKnowledge,4.4,E0013,ContentEvidence,"Tài liệu 'Slide Nhập môn Trí tuệ nhân tạo' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0014,Resource005,Slide Nhập môn Trí tuệ nhân tạo,Video,Công nghệ thông tin,WebDevelopment,Advanced,ResearchTopic,DataAnalysis,BasicKnowledge,4.4,E0014,LevelGoalEvidence,"'Slide Nhập môn Trí tuệ nhân tạo' phù hợp mức Advanced, hướng đến mục tiêu ResearchTopic, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0015,Resource005,Slide Nhập môn Trí tuệ nhân tạo,Video,Công nghệ thông tin,WebDevelopment,Advanced,ResearchTopic,DataAnalysis,BasicKnowledge,4.4,E0015,SkillEvidence,"Nội dung 'Slide Nhập môn Trí tuệ nhân tạo' rèn kỹ năng DataAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0016,Resource006,Pandas Tutorial,Notebook,Công nghệ thông tin,Database,ExamPreparation,PracticeCoding,MachineLearning,CoreConcepts,3.7,E0016,ContentEvidence,"Tài liệu 'Pandas Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0017,Resource006,Pandas Tutorial,Notebook,Công nghệ thông tin,Database,ExamPreparation,PracticeCoding,MachineLearning,CoreConcepts,3.7,E0017,LevelGoalEvidence,"'Pandas Tutorial' phù hợp mức ExamPreparation, hướng đến mục tiêu PracticeCoding, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0018,Resource006,Pandas Tutorial,Notebook,Công nghệ thông tin,Database,ExamPreparation,PracticeCoding,MachineLearning,CoreConcepts,3.7,E0018,SkillEvidence,"Nội dung 'Pandas Tutorial' rèn kỹ năng MachineLearning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0019,Resource007,Data Visualization với Matplotlib,ProjectSample,Công nghệ thông tin,DataAnalysis,Beginner,ImproveLanguage,Git,None,4.4,E0019,ContentEvidence,"Tài liệu 'Data Visualization với Matplotlib' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0020,Resource007,Data Visualization với Matplotlib,ProjectSample,Công nghệ thông tin,DataAnalysis,Beginner,ImproveLanguage,Git,None,4.4,E0020,LevelGoalEvidence,"'Data Visualization với Matplotlib' phù hợp mức Beginner, hướng đến mục tiêu ImproveLanguage, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0021,Resource007,Data Visualization với Matplotlib,ProjectSample,Công nghệ thông tin,DataAnalysis,Beginner,ImproveLanguage,Git,None,4.4,E0021,SkillEvidence,"Nội dung 'Data Visualization với Matplotlib' rèn kỹ năng Git, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0022,Resource008,Machine Learning Cơ bản,Tutorial,Công nghệ thông tin,Git,Advanced,TechnicalMaintenance,Debugging,BasicKnowledge,3.7,E0022,ContentEvidence,"Tài liệu 'Machine Learning Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Git và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0023,Resource008,Machine Learning Cơ bản,Tutorial,Công nghệ thông tin,Git,Advanced,TechnicalMaintenance,Debugging,BasicKnowledge,3.7,E0023,LevelGoalEvidence,"'Machine Learning Cơ bản' phù hợp mức Advanced, hướng đến mục tiêu TechnicalMaintenance, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0024,Resource008,Machine Learning Cơ bản,Tutorial,Công nghệ thông tin,Git,Advanced,TechnicalMaintenance,Debugging,BasicKnowledge,3.7,E0024,SkillEvidence,"Nội dung 'Machine Learning Cơ bản' rèn kỹ năng Debugging, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0025,Resource009,Cấu trúc dữ liệu qua ví dụ,Slide,Công nghệ thông tin,Python,ExamPreparation,SupplyChainOptimization,Python,CoreConcepts,4.4,E0025,ContentEvidence,"Tài liệu 'Cấu trúc dữ liệu qua ví dụ' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0026,Resource009,Cấu trúc dữ liệu qua ví dụ,Slide,Công nghệ thông tin,Python,ExamPreparation,SupplyChainOptimization,Python,CoreConcepts,4.4,E0026,LevelGoalEvidence,"'Cấu trúc dữ liệu qua ví dụ' phù hợp mức ExamPreparation, hướng đến mục tiêu SupplyChainOptimization, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0027,Resource009,Cấu trúc dữ liệu qua ví dụ,Slide,Công nghệ thông tin,Python,ExamPreparation,SupplyChainOptimization,Python,CoreConcepts,4.4,E0027,SkillEvidence,"Nội dung 'Cấu trúc dữ liệu qua ví dụ' rèn kỹ năng Python, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0028,Resource010,Java OOP Tutorial,PracticeExercise,Công nghệ thông tin,SQL,Beginner,ProfessionalCertification,SQL,None,3.7,E0028,ContentEvidence,"Tài liệu 'Java OOP Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0029,Resource010,Java OOP Tutorial,PracticeExercise,Công nghệ thông tin,SQL,Beginner,ProfessionalCertification,SQL,None,3.7,E0029,LevelGoalEvidence,"'Java OOP Tutorial' phù hợp mức Beginner, hướng đến mục tiêu ProfessionalCertification, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0030,Resource010,Java OOP Tutorial,PracticeExercise,Công nghệ thông tin,SQL,Beginner,ProfessionalCertification,SQL,None,3.7,E0030,SkillEvidence,"Nội dung 'Java OOP Tutorial' rèn kỹ năng SQL, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0031,Resource011,Web Frontend Cơ bản,Book,Công nghệ thông tin,ArtificialIntelligence,Advanced,PracticeSkill,React,BasicKnowledge,4.4,E0031,ContentEvidence,"Tài liệu 'Web Frontend Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0032,Resource011,Web Frontend Cơ bản,Book,Công nghệ thông tin,ArtificialIntelligence,Advanced,PracticeSkill,React,BasicKnowledge,4.4,E0032,LevelGoalEvidence,"'Web Frontend Cơ bản' phù hợp mức Advanced, hướng đến mục tiêu PracticeSkill, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0033,Resource011,Web Frontend Cơ bản,Book,Công nghệ thông tin,ArtificialIntelligence,Advanced,PracticeSkill,React,BasicKnowledge,4.4,E0033,SkillEvidence,"Nội dung 'Web Frontend Cơ bản' rèn kỹ năng React, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0034,Resource012,Git và GitHub cho sinh viên,Video,Công nghệ thông tin,MachineLearning,ExamPreparation,BuildProject,APIDesign,CoreConcepts,3.7,E0034,ContentEvidence,"Tài liệu 'Git và GitHub cho sinh viên' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0035,Resource012,Git và GitHub cho sinh viên,Video,Công nghệ thông tin,MachineLearning,ExamPreparation,BuildProject,APIDesign,CoreConcepts,3.7,E0035,LevelGoalEvidence,"'Git và GitHub cho sinh viên' phù hợp mức ExamPreparation, hướng đến mục tiêu BuildProject, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0036,Resource012,Git và GitHub cho sinh viên,Video,Công nghệ thông tin,MachineLearning,ExamPreparation,BuildProject,APIDesign,CoreConcepts,3.7,E0036,SkillEvidence,"Nội dung 'Git và GitHub cho sinh viên' rèn kỹ năng APIDesign, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0037,Resource013,Notebook Phân tích dữ liệu mẫu,Notebook,Công nghệ thông tin,WebDevelopment,Beginner,AnalyzeData,DataAnalysis,None,4.4,E0037,ContentEvidence,"Tài liệu 'Notebook Phân tích dữ liệu mẫu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0038,Resource013,Notebook Phân tích dữ liệu mẫu,Notebook,Công nghệ thông tin,WebDevelopment,Beginner,AnalyzeData,DataAnalysis,None,4.4,E0038,LevelGoalEvidence,"'Notebook Phân tích dữ liệu mẫu' phù hợp mức Beginner, hướng đến mục tiêu AnalyzeData, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0039,Resource013,Notebook Phân tích dữ liệu mẫu,Notebook,Công nghệ thông tin,WebDevelopment,Beginner,AnalyzeData,DataAnalysis,None,4.4,E0039,SkillEvidence,"Nội dung 'Notebook Phân tích dữ liệu mẫu' rèn kỹ năng DataAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0040,Resource014,Đồ án mẫu Python Data Analysis,ProjectSample,Công nghệ thông tin,Database,Advanced,ApplyIndustry,MachineLearning,BasicKnowledge,3.7,E0040,ContentEvidence,"Tài liệu 'Đồ án mẫu Python Data Analysis' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0041,Resource014,Đồ án mẫu Python Data Analysis,ProjectSample,Công nghệ thông tin,Database,Advanced,ApplyIndustry,MachineLearning,BasicKnowledge,3.7,E0041,LevelGoalEvidence,"'Đồ án mẫu Python Data Analysis' phù hợp mức Advanced, hướng đến mục tiêu ApplyIndustry, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0042,Resource014,Đồ án mẫu Python Data Analysis,ProjectSample,Công nghệ thông tin,Database,Advanced,ApplyIndustry,MachineLearning,BasicKnowledge,3.7,E0042,SkillEvidence,"Nội dung 'Đồ án mẫu Python Data Analysis' rèn kỹ năng MachineLearning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0043,Resource015,Slide Lý thuyết Cơ sở dữ liệu,Tutorial,Công nghệ thông tin,DataAnalysis,ExamPreparation,ResearchTopic,Git,CoreConcepts,4.4,E0043,ContentEvidence,"Tài liệu 'Slide Lý thuyết Cơ sở dữ liệu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0044,Resource015,Slide Lý thuyết Cơ sở dữ liệu,Tutorial,Công nghệ thông tin,DataAnalysis,ExamPreparation,ResearchTopic,Git,CoreConcepts,4.4,E0044,LevelGoalEvidence,"'Slide Lý thuyết Cơ sở dữ liệu' phù hợp mức ExamPreparation, hướng đến mục tiêu ResearchTopic, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0045,Resource015,Slide Lý thuyết Cơ sở dữ liệu,Tutorial,Công nghệ thông tin,DataAnalysis,ExamPreparation,ResearchTopic,Git,CoreConcepts,4.4,E0045,SkillEvidence,"Nội dung 'Slide Lý thuyết Cơ sở dữ liệu' rèn kỹ năng Git, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0046,Resource016,Quản trị học căn bản,Video,Quản trị kinh doanh,Management,ProjectReady,FinancialAnalysis,Planning,None,3.7,E0046,ContentEvidence,"Tài liệu 'Quản trị học căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0047,Resource016,Quản trị học căn bản,Video,Quản trị kinh doanh,Management,ProjectReady,FinancialAnalysis,Planning,None,3.7,E0047,LevelGoalEvidence,"'Quản trị học căn bản' phù hợp mức ProjectReady, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0048,Resource016,Quản trị học căn bản,Video,Quản trị kinh doanh,Management,ProjectReady,FinancialAnalysis,Planning,None,3.7,E0048,SkillEvidence,"Nội dung 'Quản trị học căn bản' rèn kỹ năng Planning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0049,Resource017,Chiến lược kinh doanh qua tình huống,Notebook,Quản trị kinh doanh,BusinessStrategy,Foundation,CreativeDesign,Leadership,None,4.4,E0049,ContentEvidence,"Tài liệu 'Chiến lược kinh doanh qua tình huống' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0050,Resource017,Chiến lược kinh doanh qua tình huống,Notebook,Quản trị kinh doanh,BusinessStrategy,Foundation,CreativeDesign,Leadership,None,4.4,E0050,LevelGoalEvidence,"'Chiến lược kinh doanh qua tình huống' phù hợp mức Foundation, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0051,Resource017,Chiến lược kinh doanh qua tình huống,Notebook,Quản trị kinh doanh,BusinessStrategy,Foundation,CreativeDesign,Leadership,None,4.4,E0051,SkillEvidence,"Nội dung 'Chiến lược kinh doanh qua tình huống' rèn kỹ năng Leadership, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0052,Resource018,Hành vi tổ chức cho nhà quản trị,ProjectSample,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnFoundation,MarketAnalysis,None,3.7,E0052,ContentEvidence,"Tài liệu 'Hành vi tổ chức cho nhà quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0053,Resource018,Hành vi tổ chức cho nhà quản trị,ProjectSample,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnFoundation,MarketAnalysis,None,3.7,E0053,LevelGoalEvidence,"'Hành vi tổ chức cho nhà quản trị' phù hợp mức Intermediate, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0054,Resource018,Hành vi tổ chức cho nhà quản trị,ProjectSample,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnFoundation,MarketAnalysis,None,3.7,E0054,SkillEvidence,"Nội dung 'Hành vi tổ chức cho nhà quản trị' rèn kỹ năng MarketAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0055,Resource019,Khởi nghiệp và mô hình kinh doanh,Tutorial,Quản trị kinh doanh,Entrepreneurship,ProjectReady,PrepareExam,DecisionMaking,None,4.4,E0055,ContentEvidence,"Tài liệu 'Khởi nghiệp và mô hình kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0056,Resource019,Khởi nghiệp và mô hình kinh doanh,Tutorial,Quản trị kinh doanh,Entrepreneurship,ProjectReady,PrepareExam,DecisionMaking,None,4.4,E0056,LevelGoalEvidence,"'Khởi nghiệp và mô hình kinh doanh' phù hợp mức ProjectReady, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0057,Resource019,Khởi nghiệp và mô hình kinh doanh,Tutorial,Quản trị kinh doanh,Entrepreneurship,ProjectReady,PrepareExam,DecisionMaking,None,4.4,E0057,SkillEvidence,"Nội dung 'Khởi nghiệp và mô hình kinh doanh' rèn kỹ năng DecisionMaking, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0058,Resource020,Quản trị nhân sự thực hành,Slide,Quản trị kinh doanh,HumanResource,Foundation,ImproveCommunication,Teamwork,None,3.7,E0058,ContentEvidence,"Tài liệu 'Quản trị nhân sự thực hành' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề HumanResource và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0059,Resource020,Quản trị nhân sự thực hành,Slide,Quản trị kinh doanh,HumanResource,Foundation,ImproveCommunication,Teamwork,None,3.7,E0059,LevelGoalEvidence,"'Quản trị nhân sự thực hành' phù hợp mức Foundation, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0060,Resource020,Quản trị nhân sự thực hành,Slide,Quản trị kinh doanh,HumanResource,Foundation,ImproveCommunication,Teamwork,None,3.7,E0060,SkillEvidence,"Nội dung 'Quản trị nhân sự thực hành' rèn kỹ năng Teamwork, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0061,Resource021,Lập kế hoạch kinh doanh mẫu,PracticeExercise,Quản trị kinh doanh,BusinessPlanning,Intermediate,UnderstandTheory,BusinessWriting,None,4.4,E0061,ContentEvidence,"Tài liệu 'Lập kế hoạch kinh doanh mẫu' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessPlanning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0062,Resource021,Lập kế hoạch kinh doanh mẫu,PracticeExercise,Quản trị kinh doanh,BusinessPlanning,Intermediate,UnderstandTheory,BusinessWriting,None,4.4,E0062,LevelGoalEvidence,"'Lập kế hoạch kinh doanh mẫu' phù hợp mức Intermediate, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0063,Resource021,Lập kế hoạch kinh doanh mẫu,PracticeExercise,Quản trị kinh doanh,BusinessPlanning,Intermediate,UnderstandTheory,BusinessWriting,None,4.4,E0063,SkillEvidence,"Nội dung 'Lập kế hoạch kinh doanh mẫu' rèn kỹ năng BusinessWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0064,Resource022,Kỹ năng ra quyết định quản trị,Book,Quản trị kinh doanh,Management,ProjectReady,DevelopCareer,Planning,None,3.7,E0064,ContentEvidence,"Tài liệu 'Kỹ năng ra quyết định quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0065,Resource022,Kỹ năng ra quyết định quản trị,Book,Quản trị kinh doanh,Management,ProjectReady,DevelopCareer,Planning,None,3.7,E0065,LevelGoalEvidence,"'Kỹ năng ra quyết định quản trị' phù hợp mức ProjectReady, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0066,Resource022,Kỹ năng ra quyết định quản trị,Book,Quản trị kinh doanh,Management,ProjectReady,DevelopCareer,Planning,None,3.7,E0066,SkillEvidence,"Nội dung 'Kỹ năng ra quyết định quản trị' rèn kỹ năng Planning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0067,Resource023,Phân tích môi trường kinh doanh,Video,Quản trị kinh doanh,BusinessStrategy,Foundation,LearnProgramming,Leadership,None,4.4,E0067,ContentEvidence,"Tài liệu 'Phân tích môi trường kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0068,Resource023,Phân tích môi trường kinh doanh,Video,Quản trị kinh doanh,BusinessStrategy,Foundation,LearnProgramming,Leadership,None,4.4,E0068,LevelGoalEvidence,"'Phân tích môi trường kinh doanh' phù hợp mức Foundation, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0069,Resource023,Phân tích môi trường kinh doanh,Video,Quản trị kinh doanh,BusinessStrategy,Foundation,LearnProgramming,Leadership,None,4.4,E0069,SkillEvidence,"Nội dung 'Phân tích môi trường kinh doanh' rèn kỹ năng Leadership, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0070,Resource024,Quản trị vận hành căn bản,Notebook,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnBusiness,MarketAnalysis,None,3.7,E0070,ContentEvidence,"Tài liệu 'Quản trị vận hành căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0071,Resource024,Quản trị vận hành căn bản,Notebook,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnBusiness,MarketAnalysis,None,3.7,E0071,LevelGoalEvidence,"'Quản trị vận hành căn bản' phù hợp mức Intermediate, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0072,Resource024,Quản trị vận hành căn bản,Notebook,Quản trị kinh doanh,OrganizationalBehavior,Intermediate,LearnBusiness,MarketAnalysis,None,3.7,E0072,SkillEvidence,"Nội dung 'Quản trị vận hành căn bản' rèn kỹ năng MarketAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0073,Resource025,Bài tập tình huống quản trị,ProjectSample,Quản trị kinh doanh,Entrepreneurship,ProjectReady,ServiceOperations,DecisionMaking,None,4.4,E0073,ContentEvidence,"Tài liệu 'Bài tập tình huống quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0074,Resource025,Bài tập tình huống quản trị,ProjectSample,Quản trị kinh doanh,Entrepreneurship,ProjectReady,ServiceOperations,DecisionMaking,None,4.4,E0074,LevelGoalEvidence,"'Bài tập tình huống quản trị' phù hợp mức ProjectReady, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0075,Resource025,Bài tập tình huống quản trị,ProjectSample,Quản trị kinh doanh,Entrepreneurship,ProjectReady,ServiceOperations,DecisionMaking,None,4.4,E0075,SkillEvidence,"Nội dung 'Bài tập tình huống quản trị' rèn kỹ năng DecisionMaking, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0076,Resource026,Nghiệp vụ lễ tân khách sạn,PracticeExercise,Quản trị khách sạn,FrontOffice,Intermediate,UnderstandTheory,FrontOfficeService,None,3.7,E0076,ContentEvidence,"Tài liệu 'Nghiệp vụ lễ tân khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
