evidence_id,resource_id,evidence_text,evidence_type
E0022,Resource008,"Tài liệu 'Machine Learning Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Git và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0023,Resource008,"'Machine Learning Cơ bản' phù hợp mức Advanced, hướng đến mục tiêu TechnicalMaintenance, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0024,Resource008,"Nội dung 'Machine Learning Cơ bản' rèn kỹ năng Debugging, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0025,Resource009,"Tài liệu 'Cấu trúc dữ liệu qua ví dụ' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Python và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0026,Resource009,"'Cấu trúc dữ liệu qua ví dụ' phù hợp mức ExamPreparation, hướng đến mục tiêu SupplyChainOptimization, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0027,Resource009,"Nội dung 'Cấu trúc dữ liệu qua ví dụ' rèn kỹ năng Python, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0028,Resource010,"Tài liệu 'Java OOP Tutorial' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề SQL và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0029,Resource010,"'Java OOP Tutorial' phù hợp mức Beginner, hướng đến mục tiêu ProfessionalCertification, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0030,Resource010,"Nội dung 'Java OOP Tutorial' rèn kỹ năng SQL, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0031,Resource011,"Tài liệu 'Web Frontend Cơ bản' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề ArtificialIntelligence và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0032,Resource011,"'Web Frontend Cơ bản' phù hợp mức Advanced, hướng đến mục tiêu PracticeSkill, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0033,Resource011,"Nội dung 'Web Frontend Cơ bản' rèn kỹ năng React, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0034,Resource012,"Tài liệu 'Git và GitHub cho sinh viên' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề MachineLearning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0035,Resource012,"'Git và GitHub cho sinh viên' phù hợp mức ExamPreparation, hướng đến mục tiêu BuildProject, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0036,Resource012,"Nội dung 'Git và GitHub cho sinh viên' rèn kỹ năng APIDesign, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0037,Resource013,"Tài liệu 'Notebook Phân tích dữ liệu mẫu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề WebDevelopment và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0038,Resource013,"'Notebook Phân tích dữ liệu mẫu' phù hợp mức Beginner, hướng đến mục tiêu AnalyzeData, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0039,Resource013,"Nội dung 'Notebook Phân tích dữ liệu mẫu' rèn kỹ năng DataAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0040,Resource014,"Tài liệu 'Đồ án mẫu Python Data Analysis' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề Database và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0041,Resource014,"'Đồ án mẫu Python Data Analysis' phù hợp mức Advanced, hướng đến mục tiêu ApplyIndustry, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0042,Resource014,"Nội dung 'Đồ án mẫu Python Data Analysis' rèn kỹ năng MachineLearning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0043,Resource015,"Tài liệu 'Slide Lý thuyết Cơ sở dữ liệu' thuộc ngành Công nghệ thông tin, hỗ trợ chủ đề DataAnalysis và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0044,Resource015,"'Slide Lý thuyết Cơ sở dữ liệu' phù hợp mức ExamPreparation, hướng đến mục tiêu ResearchTopic, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0045,Resource015,"Nội dung 'Slide Lý thuyết Cơ sở dữ liệu' rèn kỹ năng Git, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0046,Resource016,"Tài liệu 'Quản trị học căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0047,Resource016,"'Quản trị học căn bản' phù hợp mức ProjectReady, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0048,Resource016,"Nội dung 'Quản trị học căn bản' rèn kỹ năng Planning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0049,Resource017,"Tài liệu 'Chiến lược kinh doanh qua tình huống' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0050,Resource017,"'Chiến lược kinh doanh qua tình huống' phù hợp mức Foundation, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0051,Resource017,"Nội dung 'Chiến lược kinh doanh qua tình huống' rèn kỹ năng Leadership, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0052,Resource018,"Tài liệu 'Hành vi tổ chức cho nhà quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0053,Resource018,"'Hành vi tổ chức cho nhà quản trị' phù hợp mức Intermediate, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0054,Resource018,"Nội dung 'Hành vi tổ chức cho nhà quản trị' rèn kỹ năng MarketAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0055,Resource019,"Tài liệu 'Khởi nghiệp và mô hình kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0056,Resource019,"'Khởi nghiệp và mô hình kinh doanh' phù hợp mức ProjectReady, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0057,Resource019,"Nội dung 'Khởi nghiệp và mô hình kinh doanh' rèn kỹ năng DecisionMaking, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0058,Resource020,"Tài liệu 'Quản trị nhân sự thực hành' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề HumanResource và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0059,Resource020,"'Quản trị nhân sự thực hành' phù hợp mức Foundation, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0060,Resource020,"Nội dung 'Quản trị nhân sự thực hành' rèn kỹ năng Teamwork, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0061,Resource021,"Tài liệu 'Lập kế hoạch kinh doanh mẫu' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessPlanning và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0062,Resource021,"'Lập kế hoạch kinh doanh mẫu' phù hợp mức Intermediate, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0063,Resource021,"Nội dung 'Lập kế hoạch kinh doanh mẫu' rèn kỹ năng BusinessWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0064,Resource022,"Tài liệu 'Kỹ năng ra quyết định quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Management và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0065,Resource022,"'Kỹ năng ra quyết định quản trị' phù hợp mức ProjectReady, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0066,Resource022,"Nội dung 'Kỹ năng ra quyết định quản trị' rèn kỹ năng Planning, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0067,Resource023,"Tài liệu 'Phân tích môi trường kinh doanh' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề BusinessStrategy và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0068,Resource023,"'Phân tích môi trường kinh doanh' phù hợp mức Foundation, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0069,Resource023,"Nội dung 'Phân tích môi trường kinh doanh' rèn kỹ năng Leadership, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0070,Resource024,"Tài liệu 'Quản trị vận hành căn bản' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề OrganizationalBehavior và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0071,Resource024,"'Quản trị vận hành căn bản' phù hợp mức Intermediate, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0072,Resource024,"Nội dung 'Quản trị vận hành căn bản' rèn kỹ năng MarketAnalysis, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0073,Resource025,"Tài liệu 'Bài tập tình huống quản trị' thuộc ngành Quản trị kinh doanh, hỗ trợ chủ đề Entrepreneurship và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0074,Resource025,"'Bài tập tình huống quản trị' phù hợp mức ProjectReady, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0075,Resource025,"Nội dung 'Bài tập tình huống quản trị' rèn kỹ năng DecisionMaking, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0076,Resource026,"Tài liệu 'Nghiệp vụ lễ tân khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0077,Resource026,"'Nghiệp vụ lễ tân khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0078,Resource026,"Nội dung 'Nghiệp vụ lễ tân khách sạn' rèn kỹ năng FrontOfficeService, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0079,Resource027,"Tài liệu 'Quản trị buồng phòng cơ bản' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0080,Resource027,"'Quản trị buồng phòng cơ bản' phù hợp mức ProjectReady, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0081,Resource027,"Nội dung 'Quản trị buồng phòng cơ bản' rèn kỹ năng GuestCommunication, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0082,Resource028,"Tài liệu 'Dịch vụ nhà hàng khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0083,Resource028,"'Dịch vụ nhà hàng khách sạn' phù hợp mức Foundation, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0084,Resource028,"Nội dung 'Dịch vụ nhà hàng khách sạn' rèn kỹ năng ReservationHandling, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0085,Resource029,"Tài liệu 'Xử lý tình huống khách hàng' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0086,Resource029,"'Xử lý tình huống khách hàng' phù hợp mức Intermediate, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0087,Resource029,"Nội dung 'Xử lý tình huống khách hàng' rèn kỹ năng HousekeepingInspection, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0088,Resource030,"Tài liệu 'Quản trị trải nghiệm khách lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề GuestExperience và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0089,Resource030,"'Quản trị trải nghiệm khách lưu trú' phù hợp mức ProjectReady, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0090,Resource030,"Nội dung 'Quản trị trải nghiệm khách lưu trú' rèn kỹ năng ServiceRecovery, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0091,Resource031,"Tài liệu 'Tài liệu đặt phòng và check-in' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HospitalityManagement và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0092,Resource031,"'Tài liệu đặt phòng và check-in' phù hợp mức Foundation, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0093,Resource031,"Nội dung 'Tài liệu đặt phòng và check-in' rèn kỹ năng EventCoordination, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0094,Resource032,"Tài liệu 'Tiêu chuẩn phục vụ khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0095,Resource032,"'Tiêu chuẩn phục vụ khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0096,Resource032,"Nội dung 'Tiêu chuẩn phục vụ khách sạn' rèn kỹ năng FrontOfficeService, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0097,Resource033,"Tài liệu 'Quản trị chất lượng dịch vụ lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0098,Resource033,"'Quản trị chất lượng dịch vụ lưu trú' phù hợp mức ProjectReady, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0099,Resource033,"Nội dung 'Quản trị chất lượng dịch vụ lưu trú' rèn kỹ năng GuestCommunication, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0100,Resource034,"Tài liệu 'Kỹ năng giao tiếp ngành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0101,Resource034,"'Kỹ năng giao tiếp ngành khách sạn' phù hợp mức Foundation, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0102,Resource034,"Nội dung 'Kỹ năng giao tiếp ngành khách sạn' rèn kỹ năng ReservationHandling, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0103,Resource035,"Tài liệu 'Case study vận hành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0104,Resource035,"'Case study vận hành khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0105,Resource035,"Nội dung 'Case study vận hành khách sạn' rèn kỹ năng HousekeepingInspection, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0106,Resource036,"Tài liệu 'Ngữ pháp tiếng Anh nền tảng' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề EnglishGrammar và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0107,Resource036,"'Ngữ pháp tiếng Anh nền tảng' phù hợp mức Foundation, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0108,Resource036,"Nội dung 'Ngữ pháp tiếng Anh nền tảng' rèn kỹ năng Grammar, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0109,Resource037,"Tài liệu 'Academic Writing cho sinh viên' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề AcademicWriting và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0110,Resource037,"'Academic Writing cho sinh viên' phù hợp mức Intermediate, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0111,Resource037,"Nội dung 'Academic Writing cho sinh viên' rèn kỹ năng EssayWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0112,Resource038,"Tài liệu 'IELTS Listening Practice' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề IELTS và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0113,Resource038,"'IELTS Listening Practice' phù hợp mức ProjectReady, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0114,Resource038,"Nội dung 'IELTS Listening Practice' rèn kỹ năng ListeningPractice, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0115,Resource039,"Tài liệu 'IELTS Speaking theo chủ đề' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề BusinessEnglish và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0116,Resource039,"'IELTS Speaking theo chủ đề' phù hợp mức Foundation, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0117,Resource039,"Nội dung 'IELTS Speaking theo chủ đề' rèn kỹ năng SpeakingFluency, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0118,Resource040,"Tài liệu 'Business English Communication' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Speaking và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0119,Resource040,"'Business English Communication' phù hợp mức Intermediate, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0120,Resource040,"Nội dung 'Business English Communication' rèn kỹ năng VocabularyBuilding, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0121,Resource041,"Tài liệu 'Từ vựng học thuật tiếng Anh' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Listening và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0122,Resource041,"'Từ vựng học thuật tiếng Anh' phù hợp mức ProjectReady, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0123,Resource041,"Nội dung 'Từ vựng học thuật tiếng Anh' rèn kỹ năng TranslationSkill, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
E0124,Resource042,"Tài liệu 'Đọc hiểu tiếng Anh học thuật' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Reading và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG.",ContentEvidence
E0125,Resource042,"'Đọc hiểu tiếng Anh học thuật' phù hợp mức Foundation, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập.",LevelGoalEvidence
E0126,Resource042,"Nội dung 'Đọc hiểu tiếng Anh học thuật' rèn kỹ năng Grammar, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu.",SkillEvidence
