resource_id,resource_title,resource_type,description,rating
Resource030,Quản trị trải nghiệm khách lưu trú,ProjectSample,"Tài liệu 'Quản trị trải nghiệm khách lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề GuestExperience, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng ServiceRecovery, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource031,Tài liệu đặt phòng và check-in,Tutorial,"Tài liệu 'Tài liệu đặt phòng và check-in' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HospitalityManagement, phù hợp mức Foundation. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng EventCoordination, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource032,Tiêu chuẩn phục vụ khách sạn,Slide,"Tài liệu 'Tiêu chuẩn phục vụ khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu CreativeDesign, rèn kỹ năng FrontOfficeService, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource033,Quản trị chất lượng dịch vụ lưu trú,PracticeExercise,"Tài liệu 'Quản trị chất lượng dịch vụ lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnFoundation, rèn kỹ năng GuestCommunication, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource034,Kỹ năng giao tiếp ngành khách sạn,Book,"Tài liệu 'Kỹ năng giao tiếp ngành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage, phù hợp mức Foundation. Nội dung hướng đến mục tiêu PrepareExam, rèn kỹ năng ReservationHandling, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource035,Case study vận hành khách sạn,Video,"Tài liệu 'Case study vận hành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu ImproveCommunication, rèn kỹ năng HousekeepingInspection, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource036,Ngữ pháp tiếng Anh nền tảng,Tutorial,"Tài liệu 'Ngữ pháp tiếng Anh nền tảng' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề EnglishGrammar, phù hợp mức Foundation. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng Grammar, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource037,Academic Writing cho sinh viên,Slide,"Tài liệu 'Academic Writing cho sinh viên' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề AcademicWriting, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu CreativeDesign, rèn kỹ năng EssayWriting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource038,IELTS Listening Practice,PracticeExercise,"Tài liệu 'IELTS Listening Practice' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề IELTS, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnFoundation, rèn kỹ năng ListeningPractice, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource039,IELTS Speaking theo chủ đề,Book,"Tài liệu 'IELTS Speaking theo chủ đề' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề BusinessEnglish, phù hợp mức Foundation. Nội dung hướng đến mục tiêu PrepareExam, rèn kỹ năng SpeakingFluency, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource040,Business English Communication,Video,"Tài liệu 'Business English Communication' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Speaking, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu ImproveCommunication, rèn kỹ năng VocabularyBuilding, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource041,Từ vựng học thuật tiếng Anh,Notebook,"Tài liệu 'Từ vựng học thuật tiếng Anh' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Listening, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng TranslationSkill, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource042,Đọc hiểu tiếng Anh học thuật,ProjectSample,"Tài liệu 'Đọc hiểu tiếng Anh học thuật' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Reading, phù hợp mức Foundation. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng Grammar, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource043,Kỹ năng dịch Anh Việt cơ bản,Tutorial,"Tài liệu 'Kỹ năng dịch Anh Việt cơ bản' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Translation, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng EssayWriting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource044,Phát âm tiếng Anh thực hành,Slide,"Tài liệu 'Phát âm tiếng Anh thực hành' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề EnglishGrammar, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng ListeningPractice, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource045,Viết email tiếng Anh công việc,PracticeExercise,"Tài liệu 'Viết email tiếng Anh công việc' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề AcademicWriting, phù hợp mức Foundation. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng SpeakingFluency, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource046,Tiếng Trung HSK 1 nhập môn,Notebook,"Tài liệu 'Tiếng Trung HSK 1 nhập môn' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseHSK, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng HSKVocabulary, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource047,Tiếng Trung HSK 2 luyện tập,ProjectSample,"Tài liệu 'Tiếng Trung HSK 2 luyện tập' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseSpeaking, phù hợp mức Foundation. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng ChineseListening, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource048,Ngữ pháp tiếng Trung cơ bản,Tutorial,"Tài liệu 'Ngữ pháp tiếng Trung cơ bản' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseGrammar, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng ChineseSpeaking, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource049,Giao tiếp tiếng Trung hằng ngày,Slide,"Tài liệu 'Giao tiếp tiếng Trung hằng ngày' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề BusinessChinese, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng CharacterWriting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource050,Từ vựng tiếng Trung thương mại,PracticeExercise,"Tài liệu 'Từ vựng tiếng Trung thương mại' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseVocabulary, phù hợp mức Foundation. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng BusinessConversation, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource051,Luyện nghe tiếng Trung cơ bản,Book,"Tài liệu 'Luyện nghe tiếng Trung cơ bản' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề TranslationChinese, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng ChineseTranslation, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource052,Viết chữ Hán cho người mới,Video,"Tài liệu 'Viết chữ Hán cho người mới' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseHSK, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu CreativeDesign, rèn kỹ năng HSKVocabulary, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource053,Dịch Trung Việt căn bản,Notebook,"Tài liệu 'Dịch Trung Việt căn bản' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseSpeaking, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnFoundation, rèn kỹ năng ChineseListening, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource054,Tiếng Trung khách sạn du lịch,ProjectSample,"Tài liệu 'Tiếng Trung khách sạn du lịch' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseGrammar, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu PrepareExam, rèn kỹ năng ChineseSpeaking, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource055,Business Chinese thực hành,Tutorial,"Tài liệu 'Business Chinese thực hành' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề BusinessChinese, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu ImproveCommunication, rèn kỹ năng CharacterWriting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource056,Động cơ ô tô căn bản,Book,"Tài liệu 'Động cơ ô tô căn bản' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề AutomotiveEngine, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng EngineInspection, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource057,Hệ thống điện ô tô,Video,"Tài liệu 'Hệ thống điện ô tô' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề AutomotiveElectrical, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu CreativeDesign, rèn kỹ năng DiagnosticTool, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource058,Chẩn đoán lỗi ô tô bằng thiết bị,Notebook,"Tài liệu 'Chẩn đoán lỗi ô tô bằng thiết bị' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề VehicleDiagnostics, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnFoundation, rèn kỹ năng WiringReading, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource059,Bảo dưỡng ô tô định kỳ,ProjectSample,"Tài liệu 'Bảo dưỡng ô tô định kỳ' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề Maintenance, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu PrepareExam, rèn kỹ năng MaintenancePlanning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource060,Hệ thống truyền lực ô tô,Tutorial,"Tài liệu 'Hệ thống truyền lực ô tô' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề TransmissionSystem, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu ImproveCommunication, rèn kỹ năng SafetyProcedure, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource061,An toàn xưởng dịch vụ ô tô,Slide,"Tài liệu 'An toàn xưởng dịch vụ ô tô' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề EVTechnology, phù hợp mức Foundation. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng EVSystem, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource062,Cảm biến và ECU trên ô tô,PracticeExercise,"Tài liệu 'Cảm biến và ECU trên ô tô' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề AutomotiveEngine, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng EngineInspection, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource063,Công nghệ xe điện nhập môn,Book,"Tài liệu 'Công nghệ xe điện nhập môn' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề AutomotiveElectrical, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng DiagnosticTool, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource064,Quy trình kiểm tra gầm xe,Video,"Tài liệu 'Quy trình kiểm tra gầm xe' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề VehicleDiagnostics, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng WiringReading, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource065,Bài tập thực hành động cơ,Notebook,"Tài liệu 'Bài tập thực hành động cơ' thuộc ngành Công nghệ kỹ thuật ô tô, hỗ trợ chủ đề Maintenance, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng MaintenancePlanning, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource066,Nguyên lý kế toán,Slide,"Tài liệu 'Nguyên lý kế toán' thuộc ngành Kế toán, hỗ trợ chủ đề AccountingPrinciples, phù hợp mức Foundation. Nội dung hướng đến mục tiêu UnderstandTheory, rèn kỹ năng JournalEntry, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource067,Kế toán tài chính căn bản,PracticeExercise,"Tài liệu 'Kế toán tài chính căn bản' thuộc ngành Kế toán, hỗ trợ chủ đề FinancialAccounting, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu DevelopCareer, rèn kỹ năng FinancialStatement, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource068,Kế toán chi phí thực hành,Book,"Tài liệu 'Kế toán chi phí thực hành' thuộc ngành Kế toán, hỗ trợ chủ đề CostAccounting, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu LearnProgramming, rèn kỹ năng ExcelAccounting, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource069,Kế toán thuế cho doanh nghiệp nhỏ,Video,"Tài liệu 'Kế toán thuế cho doanh nghiệp nhỏ' thuộc ngành Kế toán, hỗ trợ chủ đề TaxAccounting, phù hợp mức Foundation. Nội dung hướng đến mục tiêu LearnBusiness, rèn kỹ năng TaxDeclaration, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
Resource070,Excel kế toán ứng dụng,Notebook,"Tài liệu 'Excel kế toán ứng dụng' thuộc ngành Kế toán, hỗ trợ chủ đề ExcelAccounting, phù hợp mức Intermediate. Nội dung hướng đến mục tiêu ServiceOperations, rèn kỹ năng CostCalculation, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",3.7
Resource071,Lập báo cáo tài chính mẫu,ProjectSample,"Tài liệu 'Lập báo cáo tài chính mẫu' thuộc ngành Kế toán, hỗ trợ chủ đề AuditBasics, phù hợp mức ProjectReady. Nội dung hướng đến mục tiêu FinancialAnalysis, rèn kỹ năng AuditChecklist, có ví dụ, tình huống thực hành và minh chứng để phục vụ hệ thống Ontology RAG đa ngành.",4.4
